,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48017,Texas,Bailey,78.4,76.1,80.7,,82.3,74.9,72,343,267,435,,337,408,,,,,,,,,,,,,,,15,14,15,13,13,13,10,7,13,,,680,10,260,4,,,15,30,17,50,33,32,34,1303,34,30,38,315,13,9,17,85,1180:1,,42045,36837,47253,,37917,54073,81,,,,,,,,,,1609,72,61,84,167,8,2,14,7077,31.6,14.1,81,1.1,232,3.3,60,0.8,9,0.1,4550,64.3,2328,32.9,1124,17,10,24,49.8,2060,28.8
48019,Texas,Bandera,80.3,78.9,81.7,,86.0,79.0,329,319,279,360,,181,356,,,,,,,,,,,,,,,10,10,11,11,11,11,11,8,16,19,102,3180,15,2674,13,,,35,24,17,33,30,29,31,2442,20,17,22,472,13,9,16,27,3725:1,,55578,50111,61045,,58274,56284,54,,24,,,,11,10,5,18,7007,85,83,86,723,9,6,12,22351,16.9,26.5,197,0.9,280,1.3,137,0.6,10,0.0,4202,18.8,17393,77.8,260,1,0,2,50.5,20485,100.0
48021,Texas,Bastrop,77.6,76.9,78.2,74.8,82.3,76.8,1070,369,347,392,522,290,393,31,37,25,53,,39,40,34,5,4,7,,,,12,11,12,11,11,12,10,8,13,144,219,9830,13,8457,11,14,6,147,27,22,31,33,32,34,12099,25,23,28,2665,12,9,15,35,2825:1,9,62992,56844,69140,46866,49336,63927,66,33,23,5,4,8,90,22,18,28,19911,77,74,79,2854,11,9,14,84761,25.6,14.7,5798,6.8,1659,2.0,793,0.9,128,0.2,32074,37.8,44613,52.6,4184,6,4,7,49.2,47360,63.9
48023,Texas,Baylor,74.3,71.5,77.1,,,,94,622,494,775,,,,,,,,,,,,,,,,,,11,11,12,12,11,12,13,9,17,,,610,17,139,4,,,14,55,30,92,30,29,31,383,19,16,22,87,10,8,13,56,1791:1,,37013,32420,41606,,20417,37712,56,,,,,,,,,,1273,77,72,82,87,6,0,11,3581,22.2,24.6,91,2.5,25,0.7,13,0.4,3,0.1,471,13.2,2937,82.0,0,0,0,2,50.9,3726,100.0
48025,Texas,Bee,76.7,75.7,77.7,77.3,74.7,78.8,420,433,391,474,,509,373,17,60,35,97,,,,,,,,,,,12,12,13,11,11,11,9,6,12,160,581,4620,14,3655,11,10,10,43,19,14,25,34,33,35,3279,23,20,25,688,9,7,12,52,1915:1,15,41392,36726,46058,41051,40737,48678,74,27,24,7,4,12,18,11,7,17,5375,63,59,67,878,11,7,15,32563,21.4,12.1,2691,8.3,274,0.8,209,0.6,36,0.1,19238,59.1,10161,31.2,838,3,2,4,39.3,13693,43.0
48027,Texas,Bell,78.1,77.8,78.5,75.6,81.9,77.6,3503,373,360,385,441,257,402,268,71,63,80,103,53,66,331,8,7,9,11,6,7,12,11,12,11,11,12,10,8,12,623,235,63930,19,39621,13,86,8,351,15,14,17,36,36,37,34413,17,15,19,7107,7,6,9,165,607:1,9,52164,48574,55754,46745,46702,60233,54,41,38,7,6,8,278,17,15,19,63767,55,54,56,13765,12,11,13,347833,27.9,10.6,76308,21.9,3756,1.1,11336,3.3,3093,0.9,86307,24.8,158473,45.6,6846,2,,,50.2,47113,15.2
48029,Texas,Bexar,79.0,78.9,79.1,75.9,79.6,78.7,19820,348,343,353,469,336,353,1029,52,49,55,82,50,49,1144,6,6,6,8,6,6,14,13,14,11,11,12,9,8,11,5710,372,205500,11,182902,11,632,11,1413,11,10,11,34,33,35,237710,20,19,21,43779,8,7,10,85,1176:1,8,54163,52657,55669,45533,46079,70203,63,43,25,7,6,7,1103,12,11,12,368817,59,58,59,86910,14,14,15,1958578,25.8,11.8,143242,7.3,24090,1.2,61659,3.1,4342,0.2,1181315,60.3,543068,27.7,104033,6,6,6,50.6,77835,4.5
48031,Texas,Blanco,78.8,77.0,80.6,,83.8,77.9,158,317,260,374,,,,,,,,,,,,,,,,,,10,10,11,11,10,11,11,8,15,13,135,1450,13,107,1,,,15,20,11,32,29,28,30,1531,23,21,26,438,20,15,24,26,3875:1,,62115,55405,68825,,46861,61918,42,,33,,,,15,27,15,45,3240,77,73,80,450,11,7,15,11626,18.8,24.0,125,1.1,145,1.2,103,0.9,11,0.1,2286,19.7,8918,76.7,288,3,1,4,50.2,10497,100.0
48033,Texas,Borden,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,9,12,9,17,8,1492,100,14,96,15,,,,,,,29,27,30,55,15,13,17,18,11,8,14,0,673:0,,59039,51311,66767,,86042,75750,24,,,,,,,,,,183,74,61,87,5,2,0,29,673,21.7,23.5,10,1.5,5,0.7,1,0.1,0,0.0,131,19.5,520,77.3,4,1,0,12,48.0,641,100.0
48035,Texas,Bosque,76.5,75.1,78.0,,87.2,75.9,332,441,388,494,,336,461,11,70,35,126,,,,,,,,,,,11,11,12,11,11,12,11,8,15,19,125,2840,16,642,4,,,32,25,17,36,29,28,30,2510,26,23,29,606,15,11,19,44,2291:1,,49139,43709,54569,61731,35156,51236,63,48,28,,,,14,16,9,26,5435,77,76,78,639,9,7,12,18326,21.4,24.4,304,1.7,160,0.9,112,0.6,14,0.1,3427,18.7,14214,77.6,434,3,2,3,50.5,14791,81.2
