,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48057,Texas,Calhoun,78.7,77.5,79.8,,80.3,77.5,283,363,320,407,,295,420,,,,,,,,,,,,,,,11,11,12,11,11,11,11,8,15,15,83,2770,13,2873,13,,,33,22,15,30,33,32,34,2772,22,19,25,620,11,8,14,55,1812:1,,55240,49908,60572,28563,53472,63471,62,47,14,,,,11,10,5,18,5458,71,68,73,578,8,5,11,21744,24.7,17.2,542,2.5,190,0.9,1127,5.2,13,0.1,10603,48.8,9221,42.4,1058,5,3,7,48.9,9564,44.7
48059,Texas,Callahan,75.4,73.8,77.0,,,,258,479,417,541,,,,,,,,,,,,,,,,,,11,11,12,12,11,12,11,8,15,9,79,2420,18,1522,11,,,17,18,10,29,29,28,30,1723,22,19,25,395,12,9,15,65,1550:1,,45843,40076,51610,23611,31806,41461,55,46,9,,,,13,19,10,33,4352,82,80,84,544,11,8,15,13946,22.8,20.0,211,1.5,116,0.8,85,0.6,9,0.1,1367,9.8,11985,85.9,72,1,0,1,50.6,9776,72.2
48061,Texas,Cameron,80.8,80.5,81.2,88.8,80.6,80.7,3859,318,307,328,,314,362,214,41,35,46,,,,266,5,5,6,,,,16,16,17,14,13,14,9,7,11,795,244,43590,10,57540,14,48,4,289,10,9,11,34,33,36,90385,39,36,41,17489,13,11,16,58,1715:1,13,36624,33944,39304,57333,33400,51618,87,62,23,2,2,3,85,4,3,5,82068,67,66,68,16999,15,14,16,423725,30.8,13.2,1590,0.4,2790,0.7,3338,0.8,292,0.1,380168,89.7,37708,8.9,66793,17,17,18,51.4,34207,8.4
48063,Texas,Camp,75.9,74.3,77.5,71.4,,75.7,203,456,390,522,576,,484,,,,,,,,,,,,,,,13,12,13,12,12,13,12,9,16,18,175,2480,20,729,6,,,29,33,22,47,33,32,34,1815,25,22,28,390,11,8,14,39,2571:1,,41932,36580,47284,31371,40573,48006,76,32,28,,,,,,,,3345,71,67,74,534,12,8,16,12855,26.6,18.2,2044,15.9,127,1.0,119,0.9,20,0.2,3221,25.1,7174,55.8,482,4,2,6,51.5,7624,61.5
48065,Texas,Carson,78.1,76.1,80.2,,,,82,359,282,449,,,,,,,,,,,,,,,,,,9,9,10,10,10,10,11,7,14,,,790,13,372,6,,,12,28,15,49,29,28,30,593,17,14,19,183,11,8,15,116,862:1,,60668,53330,68006,,75750,66642,31,,,,,,,,,,1948,85,82,88,70,3,0,7,6032,24.3,18.8,48,0.8,97,1.6,27,0.4,3,0.0,617,10.2,5157,85.5,9,0,0,2,49.9,5885,95.2
48067,Texas,Cass,75.3,74.3,76.3,73.2,,75.3,584,494,451,537,614,,480,14,51,28,86,,,,,,,,,,,12,11,12,12,12,12,14,10,18,41,161,6890,23,1047,3,,,56,26,20,34,32,31,33,3078,18,16,21,622,9,6,11,47,2144:1,,40104,35091,45117,24975,31908,45581,61,20,15,8,5,13,36,24,17,33,9196,78,75,80,1107,10,7,12,30012,22.5,21.8,4999,16.7,195,0.6,148,0.5,16,0.1,1359,4.5,22949,76.5,77,0,0,1,51.6,22547,74.0
48069,Texas,Castro,80.3,77.9,82.8,,79.7,78.1,81,354,279,443,,317,462,,,,,,,,,,,,,,,14,13,14,12,12,12,11,7,15,5,83,660,8,328,4,,,,,,,33,32,34,1459,34,30,38,366,16,12,20,38,2614:1,,41746,36886,46606,90833,37247,57656,75,,7,,,,,,,,1584,64,59,70,185,8,3,14,7843,29.1,15.2,160,2.0,141,1.8,50,0.6,1,0.0,5130,65.4,2442,31.1,930,13,9,16,48.4,3689,45.8
48071,Texas,Chambers,77.1,76.1,78.1,74.8,84.6,76.7,502,399,363,434,619,221,404,24,55,35,81,,,,,,,,,,,10,10,11,11,10,11,10,7,13,39,125,5800,15,1810,5,10,8,55,21,16,27,32,31,33,4462,18,16,21,1164,10,7,12,48,2072:1,,81018,70495,91541,43944,59238,83568,31,21,17,5,3,9,38,20,14,27,11023,83,79,86,1478,12,9,15,41441,28.0,11.4,3275,7.9,416,1.0,572,1.4,47,0.1,9231,22.3,27747,67.0,1713,5,3,6,49.3,16046,45.7
48073,Texas,Cherokee,75.6,74.8,76.4,74.4,98.6,74.9,830,460,427,492,496,238,493,44,83,60,112,,64,95,43,8,6,11,,,,13,12,13,12,12,13,13,10,17,117,279,9850,19,4352,9,13,8,93,26,21,32,34,33,35,7527,27,25,30,1725,13,9,16,40,2488:1,10,47147,43799,50495,23609,44264,49014,64,38,34,4,2,6,38,15,11,20,13172,74,72,75,1921,11,9,14,52240,25.7,17.3,7261,13.9,836,1.6,306,0.6,28,0.1,12163,23.3,31616,60.5,2630,5,5,6,49.0,32057,63.0
48075,Texas,Childress,75.1,72.8,77.5,,79.8,74.5,98,462,373,565,,,,,,,,,,,,,,,,,,12,12,13,12,11,12,9,7,13,14,234,1360,19,1187,17,,,,,,,32,31,33,632,20,17,23,147,10,7,13,113,883:1,,40925,35560,46290,,31316,47923,51,,1,,,,,,,,1254,55,49,61,259,12,4,20,7067,20.5,15.4,684,9.7,65,0.9,49,0.7,2,0.0,2186,30.9,4027,57.0,68,1,0,3,40.5,2334,33.1
48077,Texas,Clay,77.2,75.5,78.8,,,,182,438,369,507,,,,,,,,,,,,,,,,,,10,10,11,11,11,11,11,8,15,6,68,1790,17,1797,17,,,17,23,14,37,31,29,32,1160,20,17,22,272,12,9,16,29,3474:1,,53438,46731,60145,,35208,48547,47,,27,,,,11,21,11,38,3479,85,83,88,305,8,5,11,10421,20.7,21.2,74,0.7,150,1.4,45,0.4,3,0.0,637,6.1,9361,89.8,138,1,0,3,50.3,8021,74.6
48079,Texas,Cochran,75.3,71.6,78.9,,,,44,494,356,668,,,,,,,,,,,,,,,,,,14,14,15,13,13,13,11,8,15,,,330,11,247,8,,,,,,,34,33,35,573,35,31,39,123,15,11,19,35,2851:1,,40796,35341,46251,,31094,45192,78,,,,,,,,,,761,76,72,80,69,8,1,15,2851,27.4,16.2,100,3.5,80,2.8,12,0.4,7,0.2,1656,58.1,1044,36.6,414,15,11,20,50.5,3127,100.0
48081,Texas,Coke,76.8,74.1,79.5,,,,62,432,320,569,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,12,9,17,,,520,16,1197,36,,,11,48,24,86,29,28,30,337,20,17,22,85,12,8,16,0,3306:0,,42314,37029,47599,,36429,44519,55,,23,,,,,,,,1121,71,68,74,153,11,5,16,3306,21.3,26.5,19,0.6,81,2.5,5,0.2,1,0.0,700,21.2,2500,75.6,70,2,0,5,50.8,3320,100.0
48083,Texas,Coleman,74.5,72.5,76.5,,,,163,485,401,568,,479,479,,,,,,,,,,,,,,,12,11,12,12,12,12,12,9,16,6,85,1530,18,754,8,,,12,20,10,35,30,29,31,1104,24,21,27,216,11,8,15,59,1686:1,,35596,30965,40227,,40857,41193,62,39,22,,,,,,,,2467,71,67,75,405,12,8,17,8430,21.2,24.6,244,2.9,118,1.4,81,1.0,3,0.0,1499,17.8,6449,76.5,146,2,0,4,49.5,4585,51.5
48085,Texas,Collin,82.7,82.5,82.9,81.2,88.8,81.8,6068,214,209,220,265,169,234,341,34,31,38,64,26,32,337,4,4,5,7,4,4,9,8,9,10,9,10,9,7,11,1570,212,132720,15,17627,2,227,8,401,6,6,7,32,32,33,75570,13,12,14,17777,7,6,8,63,1597:1,4,95394,92408,98380,69186,59137,96131,23,27,26,2,2,3,370,8,7,9,212556,66,65,66,35466,11,11,12,969603,26.3,10.7,94323,9.7,6820,0.7,145881,15.0,905,0.1,148440,15.3,555608,57.3,33154,4,4,4,50.8,41016,5.2
48087,Texas,Collingsworth,76.1,72.8,79.4,,,,46,435,313,588,,,,,,,,,,,,,,,,,,13,13,14,13,13,13,11,8,15,,,430,14,81,3,,,,,,,32,32,33,581,35,32,39,159,19,14,23,134,747:1,,39809,34723,44895,21131,42857,52222,62,,,,,,,,,,883,80,75,86,96,9,3,16,2987,26.7,18.3,152,5.1,89,3.0,16,0.5,0,0.0,1020,34.1,1722,57.6,170,6,2,10,51.6,3057,100.0
48089,Texas,Colorado,77.5,76.2,78.8,71.4,79.4,78.7,317,390,344,436,672,367,349,10,52,25,95,,,,,,,,,,,11,11,12,11,11,11,12,9,16,24,138,3100,15,1312,6,,,38,26,18,36,31,30,32,2593,22,20,25,681,13,10,17,28,3539:1,,49100,43008,55192,28859,51612,54926,64,28,24,,,,15,14,8,24,6240,82,79,85,448,6,4,9,21232,23.1,21.5,2533,11.9,234,1.1,170,0.8,16,0.1,6344,29.9,11958,56.3,953,5,3,7,50.0,13070,62.6
48091,Texas,Comal,79.8,79.3,80.3,83.5,82.2,79.0,1488,287,272,303,239,258,308,64,53,41,68,,40,60,54,5,4,7,,,,10,10,10,10,10,10,8,6,10,146,135,15050,12,6413,6,47,12,130,15,12,17,30,29,31,12681,16,14,18,3097,10,7,12,60,1679:1,8,72562,66696,78428,87209,52479,79684,31,44,24,4,3,5,97,15,12,18,35605,75,74,77,4680,10,9,11,141009,22.8,18.1,2913,2.1,1197,0.8,1690,1.2,126,0.1,38806,27.5,95456,67.7,3051,3,2,3,50.6,50055,46.1
48093,Texas,Comanche,76.7,75.1,78.3,,86.0,75.9,216,393,336,451,,355,418,10,82,39,150,,,,,,,,,,,12,12,13,12,12,12,13,9,17,8,71,2120,16,1086,8,,,33,35,24,49,30,29,31,2076,29,25,32,454,15,11,18,59,1697:1,,46161,42046,50276,28177,41002,43768,65,41,10,,,,,,,,4002,78,74,82,416,9,5,13,13573,22.6,24.0,63,0.5,179,1.3,72,0.5,7,0.1,3794,28.0,9439,69.5,732,6,4,8,50.2,9986,71.5
48095,Texas,Concho,79.9,76.7,83.0,,86.0,78.8,50,356,262,474,,,,,,,,,,,,,,,,,,11,11,12,10,10,10,9,6,12,24,634,320,8,434,11,,,,,,,33,32,33,306,21,18,24,72,12,9,16,74,1359:1,,42723,37784,47662,,31771,51510,69,,,,,,,,,,564,71,62,81,65,9,1,17,2717,20.2,25.4,30,1.1,24,0.9,34,1.3,1,0.0,995,36.6,1626,59.8,588,16,9,22,45.7,4087,100.0
48097,Texas,Cooke,77.8,76.9,78.7,,89.2,76.8,573,388,354,421,,265,417,21,56,34,85,,,,,,,,,,,10,10,11,11,11,11,11,8,14,26,80,6350,16,908,2,17,14,47,17,13,23,30,29,31,5299,23,21,26,1290,13,10,17,68,1478:1,,57382,53373,61391,32016,45171,63624,57,53,39,,,,30,15,10,22,10456,69,66,72,1141,8,6,10,39895,24.0,18.3,1231,3.1,581,1.5,450,1.1,21,0.1,7242,18.2,30050,75.3,1402,4,3,5,50.2,22691,59.0
48099,Texas,Coryell,77.0,76.3,77.7,81.5,86.4,75.3,782,393,365,421,285,183,458,55,76,57,99,103,,87,48,7,5,9,,,,11,11,12,11,11,12,10,7,13,252,409,14510,19,12895,17,19,8,74,14,11,18,33,32,34,6424,17,14,19,1268,7,5,9,44,2270:1,8,51486,48275,54697,50963,40976,52609,54,37,30,3,2,5,46,12,9,16,12916,58,56,59,2202,10,8,12,74913,23.1,10.0,12113,16.2,841,1.1,1606,2.1,666,0.9,13702,18.3,43858,58.5,1342,2,1,2,50.3,14643,19.4
48101,Texas,Cottle,,,,,,,31,607,393,896,,,,,,,,,,,,,,,,,,13,12,13,12,12,13,12,9,17,,,310,20,693,46,,,,,,,32,31,32,225,30,26,34,58,17,12,22,0,1387:0,,36201,31577,40825,15625,28558,51000,71,,,,,,,,,,434,65,56,75,38,6,0,16,1387,22.6,24.7,126,9.1,10,0.7,1,0.1,1,0.1,339,24.4,902,65.0,31,2,0,7,51.8,1505,100.0
48103,Texas,Crane,78.5,75.3,81.7,,,,57,411,310,534,,,,,,,,,,,,,,,,,,10,10,11,10,10,10,10,7,13,,,450,9,114,3,,,11,33,17,59,31,30,32,652,23,20,27,196,13,9,17,21,4740:1,,56356,49081,63631,,71282,53661,52,,,,,,,,,,1158,78,74,83,125,9,3,15,4740,30.0,11.9,129,2.7,79,1.7,42,0.9,6,0.1,3001,63.3,1516,32.0,567,13,9,17,50.0,468,10.7
48105,Texas,Crockett,77.8,75.1,80.6,,,,47,361,262,487,,326,382,,,,,,,,,,,,,,,12,11,12,11,10,11,10,7,14,,,430,11,93,3,,,10,38,18,71,31,30,32,520,24,21,28,122,12,9,16,56,1782:1,,44991,39072,50910,,52701,60333,59,,,,,,,,,,1027,73,63,82,161,12,3,21,3564,25.4,17.1,22,0.6,77,2.2,31,0.9,3,0.1,2341,65.7,1130,31.7,166,5,0,9,49.9,846,22.7
48107,Texas,Crosby,74.9,72.5,77.3,,75.4,73.4,108,533,427,639,,467,636,,,,,,,,,,,,,,,13,13,14,12,12,13,10,7,14,6,124,720,12,140,2,,,,,,,32,31,33,878,27,24,31,179,11,8,14,51,1966:1,,36942,32588,41296,28661,34632,44276,78,41,33,,,,,,,,1415,69,63,74,163,9,4,13,5899,26.9,18.1,178,3.0,65,1.1,13,0.2,4,0.1,3320,56.3,2330,39.5,178,3,1,5,50.4,6059,100.0
48109,Texas,Culberson,82.9,78.1,87.7,,,,23,269,169,407,,,,,,,,,,,,,,,,,,16,15,16,13,13,14,11,8,16,,,180,8,124,5,,,,,,,33,32,34,370,30,26,34,85,15,11,20,90,1116:1,,37825,32845,42805,,26250,51118,68,,,,,,,,,,490,67,59,74,89,13,4,22,2231,24.0,20.3,19,0.9,58,2.6,47,2.1,1,0.0,1631,73.1,488,21.9,242,12,7,17,49.8,2398,100.0
48111,Texas,Dallam,77.9,75.2,80.5,,92.6,73.9,81,410,325,511,,,,,,,,,,,,,,,,,,12,12,13,11,11,12,9,6,12,8,148,880,13,1196,18,,,15,30,17,50,32,31,33,1301,31,27,35,383,16,12,21,139,721:1,,47838,41704,53972,,36917,48401,64,18,8,,,,,,,,1450,60,54,66,152,7,3,10,7208,31.9,11.2,111,1.5,161,2.2,77,1.1,14,0.2,3358,46.6,3537,49.1,884,14,8,19,47.9,1578,23.5
48113,Texas,Dallas,78.9,78.8,79.0,74.6,84.3,78.6,25547,344,340,348,515,229,352,1582,58,55,61,97,45,49,1859,7,6,7,12,5,5,11,11,11,11,11,11,9,8,10,16317,798,442920,18,165056,7,947,12,1858,11,10,11,33,32,33,423396,26,25,27,76435,11,10,12,94,1065:1,9,56732,55454,58010,40202,44338,74286,73,49,37,8,7,8,1458,11,11,12,457251,50,50,51,140104,16,16,16,2618148,26.4,10.5,590328,22.5,28702,1.1,170981,6.5,2920,0.1,1053358,40.2,764217,29.2,274261,12,11,12,50.7,16300,0.7
48115,Texas,Dawson,76.5,74.9,78.1,,75.7,78.3,178,440,375,506,,464,382,,,,,,,,,,,,,,,13,12,13,11,11,12,10,7,14,12,113,1460,11,1924,14,,,13,14,7,24,33,32,34,1723,27,23,30,434,12,9,16,47,2136:1,,42127,36647,47607,16250,36552,52955,76,55,14,,,,,,,,3085,71,66,76,356,9,5,13,12813,26.2,14.9,679,5.3,152,1.2,138,1.1,17,0.1,7358,57.4,4528,35.3,643,5,4,7,45.5,2254,16.3
48117,Texas,Deaf Smith,78.2,76.8,79.5,,79.8,76.4,205,388,335,442,,361,453,,,,,,,,,,,,,,,13,13,13,11,11,12,9,6,13,12,83,1410,7,1762,9,,,31,23,16,33,33,31,34,3171,30,27,34,794,13,9,17,90,1108:1,,42698,37557,47839,36071,45674,64330,80,36,17,,,,,,,,3978,65,62,68,517,9,6,12,18836,31.6,12.4,175,0.9,328,1.7,108,0.6,16,0.1,13762,73.1,4657,24.7,1686,10,8,12,50.2,3431,17.7
48119,Texas,Delta,74.6,72.0,77.2,,,,106,523,416,630,,,,,,,,,,,,,,,,,,12,12,12,12,12,13,12,9,17,,,1070,20,141,3,,,15,41,23,67,31,30,32,608,21,18,24,142,12,8,15,57,1766:1,,41644,36729,46559,14500,85456,43040,63,55,25,,,,,,,,1571,77,72,82,251,13,7,18,5298,23.7,20.5,327,6.2,129,2.4,38,0.7,3,0.1,401,7.6,4292,81.0,7,0,0,2,50.1,5231,100.0
48121,Texas,Denton,81.7,81.5,82.0,80.8,89.8,80.8,5516,233,227,240,265,158,257,298,37,33,41,56,29,38,291,4,4,5,6,4,4,9,9,9,10,9,10,8,7,10,1151,181,113260,15,28808,4,200,8,373,7,6,8,29,29,30,72037,14,13,15,13375,6,5,7,55,1810:1,5,86462,83581,89343,56628,55633,90080,32,38,30,1,1,2,285,7,7,8,177522,65,64,65,31526,12,11,12,836210,25.1,9.8,81629,9.8,7110,0.9,75407,9.0,891,0.1,162605,19.4,495631,59.3,27225,4,3,4,50.8,45759,6.9
48123,Texas,DeWitt,77.1,75.9,78.3,68.9,79.6,77.5,327,425,377,473,792,376,410,,,,,,,,,,,,,,,12,11,12,11,11,12,12,9,16,12,69,3070,15,1588,8,,,28,19,13,28,32,31,33,2141,20,18,23,474,10,7,12,64,1556:1,,47657,41588,53726,30150,40313,62381,65,35,23,,,,14,14,7,23,5465,75,73,77,661,10,6,13,20226,22.6,19.5,1736,8.6,186,0.9,77,0.4,7,0.0,7143,35.3,11070,54.7,193,1,0,2,47.4,9973,49.6
48125,Texas,Dickens,78.3,74.9,81.7,,,,36,407,278,574,,,,,,,,,,,,,,,,,,12,12,13,11,11,12,10,7,14,,,360,16,136,6,,,,,,,31,31,32,270,27,24,31,70,16,11,21,45,2209:1,,38702,33778,43626,,,,64,,,,,,,,,,595,72,68,75,61,8,0,17,2209,18.9,22.5,105,4.8,50,2.3,29,1.3,2,0.1,653,29.6,1387,62.8,20,1,0,4,43.6,2444,100.0
48127,Texas,Dimmit,78.7,76.8,80.6,,,,132,377,311,443,,377,422,14,108,59,181,,,,,,,,,,,15,15,16,13,12,13,10,7,13,5,58,850,8,1796,18,,,19,25,15,40,33,32,35,1386,24,20,27,288,9,6,11,29,3473:1,,35696,30836,40556,,27281,35792,76,,17,,,,,,,,2448,70,63,78,347,11,5,17,10418,29.7,16.1,114,1.1,78,0.7,74,0.7,2,0.0,9112,87.5,1094,10.5,669,7,4,9,51.2,3946,39.5
48129,Texas,Donley,74.3,70.9,77.7,,,,73,556,424,715,,,,,,,,,,,,,,,,,,11,11,11,11,11,12,12,9,16,,,620,18,214,6,,,,,,,30,28,31,439,25,22,29,106,15,10,19,151,662:1,,41867,37796,45938,,39750,47727,60,31,28,,,,,,,,915,74,71,77,137,12,6,17,3311,20.3,24.1,166,5.0,28,0.8,21,0.6,2,0.1,372,11.2,2677,80.9,22,1,0,3,50.7,3677,100.0
48131,Texas,Duval,73.4,71.6,75.2,,,,217,612,527,696,,611,687,,,,,,,,,,,,,,,16,15,16,13,12,13,10,7,14,17,183,1170,10,2313,20,,,21,26,16,40,34,32,35,1407,24,20,27,269,9,6,11,44,2255:1,,33495,29098,37892,,32536,53276,77,,12,,,,14,24,13,41,2584,67,63,71,221,6,2,10,11273,25.4,17.8,108,1.0,91,0.8,50,0.4,13,0.1,10096,89.6,980,8.7,558,5,3,7,48.2,7899,67.0
48133,Texas,Eastland,76.0,74.8,77.3,,77.6,75.6,336,457,405,509,,338,475,12,77,40,135,,,,,,,,,,,12,12,12,12,12,12,11,8,14,10,65,3280,18,1877,10,,,34,26,18,37,29,28,31,2385,24,21,27,488,12,9,16,38,2630:1,,39620,34524,44716,28750,21927,34398,61,43,21,,,,15,16,9,27,4817,75,72,78,364,6,3,9,18411,21.5,21.8,332,1.8,218,1.2,118,0.6,11,0.1,3055,16.6,14569,79.1,441,3,1,5,50.3,11214,60.3
48135,Texas,Ector,75.4,75.0,75.9,72.4,77.7,73.2,1979,472,451,493,693,367,577,123,65,54,77,,68,61,108,5,5,7,,5,6,11,11,11,10,10,11,8,6,11,196,159,15780,10,8773,6,50,11,334,31,28,35,31,31,32,23332,25,23,28,6378,13,10,16,76,1320:1,10,54422,50066,58778,50813,53516,66620,54,40,19,6,5,8,98,13,10,15,33994,66,65,67,5132,10,9,12,157087,30.0,9.9,6730,4.3,2237,1.4,1959,1.2,352,0.2,95164,60.6,51209,32.6,11588,8,7,9,49.3,12966,9.5
48137,Texas,Edwards,74.6,69.5,79.6,,,,40,497,333,714,,,,,,,,,,,,,,,,,,11,11,12,11,10,11,12,9,17,,,130,7,191,10,,,,,,,29,29,30,280,28,24,32,72,17,12,22,0,1953:0,,35164,30524,39804,,29500,67361,68,,,,,,,,,,551,87,79,95,52,9,0,20,1953,22.5,27.2,8,0.4,42,2.2,16,0.8,0,0.0,1076,55.1,841,43.1,81,4,0,8,46.7,2002,100.0
48139,Texas,Ellis,78.0,77.5,78.4,74.1,83.1,77.7,1892,347,331,363,523,256,351,92,51,41,63,124,35,48,86,6,5,7,15,,6,10,10,11,10,10,11,11,10,13,232,175,22830,14,9475,6,48,9,155,14,12,16,34,33,34,20719,20,18,22,5012,11,8,13,45,2226:1,6,71512,67174,75850,56533,54528,74103,47,40,29,4,3,6,100,12,10,15,39978,73,71,75,5753,11,10,12,173620,26.9,12.6,17821,10.3,1485,0.9,1339,0.8,248,0.1,45711,26.3,105643,60.8,6939,5,,,50.7,47838,32.0
48141,Texas,El Paso,80.6,80.3,80.8,79.8,81.3,77.8,7373,308,301,315,384,289,392,392,42,38,46,103,40,45,443,5,4,5,12,4,6,15,15,16,13,12,13,10,9,12,2020,304,71030,9,76656,10,237,9,655,11,10,12,36,36,37,134202,27,26,29,20918,9,7,10,68,1469:1,8,44120,42038,46202,49565,39656,58927,74,48,22,3,3,3,300,7,6,8,162108,62,61,63,34528,14,13,14,840410,27.5,12.0,25548,3.0,8740,1.0,11279,1.3,1852,0.2,695938,82.8,99041,11.8,117291,15,15,16,50.8,17409,2.2
48143,Texas,Erath,78.0,77.1,78.9,,88.4,77.5,442,350,316,383,,247,370,27,79,52,115,,,,22,6,4,10,,,,13,12,13,12,12,13,9,6,12,13,37,7770,19,6220,16,,,52,18,14,24,31,29,32,5908,25,22,28,1234,14,10,18,29,3497:1,,48230,42916,53544,,45845,47877,53,57,39,,,,27,13,9,19,8803,64,61,66,2263,18,14,21,41969,20.5,14.0,706,1.7,554,1.3,324,0.8,36,0.1,8966,21.4,31304,74.6,1266,3,2,4,50.9,17551,46.3
48145,Texas,Falls,77.4,76.1,78.7,74.0,80.0,78.3,273,436,383,488,625,351,397,,,,,,,,,,,,,,,13,13,14,13,13,13,12,9,16,54,372,3590,21,1165,7,,,21,17,11,26,35,34,36,2037,23,20,26,431,11,8,14,34,2906:1,,35988,31402,40574,22688,28886,46500,81,34,33,,,,,,,,3931,73,67,79,651,13,10,17,17437,21.5,17.7,4067,23.3,191,1.1,93,0.5,36,0.2,4069,23.3,8922,51.2,459,3,2,4,52.4,12034,67.4
48147,Texas,Fannin,74.1,73.1,75.1,71.3,87.1,73.7,681,530,488,572,667,353,544,30,105,71,150,,,,,,,,,,,11,11,12,12,11,12,11,8,14,66,230,6050,18,4567,13,10,10,79,33,26,42,32,31,33,4446,25,22,27,926,13,9,16,41,2460:1,8,50598,45778,55418,22227,47788,50769,58,33,24,4,2,8,35,21,14,29,8977,75,73,76,1184,10,8,13,34446,21.2,18.7,2250,6.5,453,1.3,258,0.7,27,0.1,3806,11.0,27203,79.0,701,2,1,3,47.1,23920,70.5
48149,Texas,Fayette,79.2,78.1,80.3,,83.9,79.4,344,326,288,364,757,210,313,11,53,26,95,,,,,,,,,,,11,10,11,11,10,11,13,9,17,22,103,3570,14,1865,8,,,51,29,22,38,30,28,31,3027,22,20,25,690,13,9,16,40,2527:1,,56320,50133,62507,37299,47500,59436,51,12,18,,,,,,,,7552,81,79,84,643,7,5,10,25272,20.4,24.8,1521,6.0,305,1.2,112,0.4,16,0.1,5381,21.3,17951,71.0,538,2,1,3,50.9,16485,67.1
48151,Texas,Fisher,79.8,77.3,82.3,,,,49,323,233,436,,,,,,,,,,,,,,,,,,11,11,12,11,11,12,12,8,16,,,590,15,123,3,,,11,41,20,73,31,30,32,431,20,17,23,104,12,9,16,103,970:1,,47292,42130,52454,,35357,53125,54,20,30,,,,,,,,1227,72,70,75,67,4,1,8,3880,20.7,24.1,133,3.4,44,1.1,21,0.5,7,0.2,1100,28.4,2567,66.2,118,3,1,5,50.1,3974,100.0
48153,Texas,Floyd,79.9,77.7,82.0,,80.5,80.3,64,322,245,416,,373,295,,,,,,,,,,,,,,,14,14,15,13,13,13,11,8,15,5,104,730,12,109,2,,,,,,,33,32,34,902,28,25,32,204,12,9,16,34,2928:1,,41390,37085,45695,36250,40171,64286,76,19,4,,,,,,,,1687,73,69,77,183,9,4,14,5855,26.9,18.5,190,3.2,83,1.4,28,0.5,1,0.0,3457,59.0,2122,36.2,248,4,2,6,49.4,3437,53.3
48155,Texas,Foard,,,,,,,23,544,322,860,,,,,,,,,,,,,,,,,,10,10,11,11,10,11,12,9,17,,,180,13,611,46,,,,,,,30,29,31,176,27,23,31,39,16,11,21,82,1222:1,,35007,30550,39464,,41154,50396,73,,,,,,,,,,451,80,72,88,20,4,0,14,1222,20.7,26.8,58,4.7,8,0.7,13,1.1,0,0.0,217,17.8,921,75.4,42,3,0,8,51.8,1336,100.0
